,Accuracy,Precision,Recall,F1-score
ANN (Sgd),0.7304100393988034,0.7395558316508775,0.7023598820058997,0.7204780997049701
KNN,0.7098351087115132,0.7159808907381723,0.6852507374631268,0.7002788454291958
Logistic Regression,0.7245731796293594,0.7464326718058061,0.6712389380530973,0.7068416556651393
